'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
'Abatis' 100mm Steel Plates I Blueprint	铁网100mm钢附甲板蓝图 I
'Accord' Core Compensation	协调核心补偿器 I
'Acolyth' Signal Booster	侍僧信号增效器
'Aegis' Explosive Plating I	神盾爆炸附甲 I
'Alpha' Data Analyzer I	阿尔法数据分析仪 I
'Alpha' Data Analyzer I Blueprint	阿尔法数据分析仪蓝图 I
'Analytical Mind'	'分析性思维训练'
'Angel Cartel' MN-L SKIN	'天使'MN-L涂装
'Anguis' Ice Harvester Upgrade	安格斯冰矿采集能力提升器
'Aoede' Mining Laser Upgrade	奥德采矿激光提升器
'Arbalest' Cruise Launcher I	劲弩巡航导弹发射器 I
'Arbalest' Heavy Missile Launcher	劲弩重型导弹发射器
'Arbalest' Rapid Heavy Missile Launcher I	劲弩重型快速导弹发射器 I
'Arbalest' Rocket Launcher I	劲弩火箭发射器 I
'Arquebus' Heavy Beam Laser I	火枪重型集束激光器 I
'Arquebus' Heavy Beam Laser I Blueprint	火枪重型集束激光器蓝图 I
'Augmented' Acolyte	加强型侍僧
'Augmented' Acolyte Blueprint	加强型侍僧蓝图
'Augmented' Berserker	加强型狂战士
'Augmented' Berserker Blueprint	加强型狂战士蓝图
'Augmented' Hammerhead	加强型战锤
'Augmented' Hammerhead Blueprint	加强型战锤蓝图
'Augmented' Hobgoblin	加强型地精灵
'Augmented' Hobgoblin Blueprint	加强型地精灵蓝图
'Augmented' Hornet	加强型大黄蜂
'Augmented' Hornet Blueprint	加强型大黄蜂蓝图
'Augmented' Ice Harvesting Drone	加强型冰矿采集无人机
'Augmented' Ice Harvesting Drone Blueprint	强化冰矿采集无人机蓝图
'Augmented' Infiltrator	加强型渗透者
'Augmented' Infiltrator Blueprint	加强型渗透者蓝图
'Augmented' Mining Drone	加强型采矿无人机
'Augmented' Mining Drone Blueprint	加强型采矿无人机蓝图
'Augmented' Ogre	加强型蛮妖
'Augmented' Ogre Blueprint	加强型蛮妖蓝图
'Augmented' Praetor	加强型执政官
'Augmented' Praetor Blueprint	加强型执政官蓝图
'Augmented' Valkyrie	加强型瓦尔基里
'Augmented' Valkyrie Blueprint	加强型瓦尔基里蓝图
'Augmented' Vespa	加强型金星
'Augmented' Vespa Blueprint	加强型金星蓝图
'Augmented' Warrior	加强型武士
'Augmented' Warrior Blueprint	加强型武士蓝图
'Augmented' Wasp	加强型胡蜂
'Augmented' Wasp Blueprint	加强型胡蜂蓝图
'Aura' Warp Core Stabilizer I	圣光跃迁核心稳定器 I
'Aura' Warp Core Stabilizer I Blueprint	圣光跃迁核心稳定器蓝图 I
'Aurora Ominae' Thermal Doomsday	'极光之仪'热能末日武器
'Aurora Ominae' Thermal Doomsday Blueprint	'极光之仪'热能末日武器蓝图
'Bailey' 1600mm Steel Plates	壁垒1600mm钢附甲板
'Bailey' 1600mm Steel Plates Blueprint	壁垒1600mm钢附甲板蓝图
'Balefire' Rocket Launcher	烽火火箭发射器
'Balefire' Rocket Launcher Blueprint	烽火火箭发射器蓝图
'Ballista' Tachyon Beam Laser I	弩炮超光速粒子集束激光器 I
'Ballista' Tachyon Beam Laser I Blueprint	弩炮超光速粒子集束激光器蓝图 I
'Barbican' 800mm Steel Plates	碉楼800mm钢附甲板
'Barbican' 800mm Steel Plates Blueprint	碉楼800mm钢附甲板蓝图
'Barrage' Torpedo Launcher	雷暴鱼雷发射器
'Barrage' Torpedo Launcher Blueprint	雷暴鱼雷发射器蓝图
'Basic' Capacitor Flux Coil	基础型电容通量线圈
'Basic' Capacitor Power Relay	基础型电容能源继电器
'Basic' Capacitor Recharger	基础型电容回充器
'Basic' Damage Control	基础型损伤控制
'Basic' Expanded Cargohold	基础型扩充货柜舱
'Basic' Gyrostabilizer	基础型回转稳定器
'Basic' Heat Sink	基础型散热槽
'Basic' Inertial Stabilizers	基础型惯性稳定器
'Basic' Magnetic Field Stabilizer	基础型磁性力场稳定器
'Basic' Nanofiber Internal Structure	基础型纳米纤维内部构架
'Basic' Overdrive Injector System	基础型超载注喷系统
'Basic' Power Diagnostic System	基础型能源诊断系统
'Basic' Reinforced Bulkheads	基础型强化舱隔壁
'Basic' Shield Flux Coil	基础护盾通量线圈
'Basic' Shield Power Relay	基础护盾能源继电器
'Basic' Signal Amplifier	基础型信号放大器
'Basic' Tracking Enhancer	基础型索敌增强器
'Bastion' 400mm Steel Plates	堡垒400mm钢附甲板
'Bastion' 400mm Steel Plates Blueprint	堡垒400mm钢附甲板蓝图
'Beatnik' Small Remote Armor Repairer	比特尼克小型远程装甲维修器
'Beatnik' Small Remote Armor Repairer Blueprint	比特尼克小型远程装甲维修器蓝图
'Behemoth' Sentinel A-I+	Defender Special Issue Mk II-A
'Benefactor' Ward Reconstructor	感恩防护再生装置
'Blood Raiders' AM-L SKIN	'血袭者'AM-L涂装
'Bootleg' Remote Sensor Booster	私货远程感应增强器
'Bootleg' Remote Sensor Booster Blueprint	私货远程感应增强器蓝图
'Boreas' Coolant System	北风冷却系统
'Boss' Remote Sensor Booster	波士远程感应增强器
'Boss' Remote Sensor Booster I Blueprint	波士远程感应增强器蓝图 I
'Broker' Remote Sensor Dampener I	经纪人远程感应抑阻器 I
'Broker' Remote Sensor Dampener I Blueprint	经纪人远程感应抑阻器蓝图 I
'Brotherhood' Small Remote Armor Repairer	兄弟小型远程装甲维修器
'Brotherhood' Small Remote Armor Repairer Blueprint	兄弟小型远程装甲维修器蓝图
'Buck' Turgidson's Insignia	雄鹿图尔基德森的勋章
'Cactus' Modified Kinetic Deflection Amplifier	仙人球改良型动能偏阻增效器
'Cactus' Modified Kinetic Deflection Amplifier Blueprint	仙人球改良型动能偏阻增效器蓝图
'Capitalist' Magnetic Field Stabilizer I	资本磁性力场稳定器 I
'Capitalist' Magnetic Field Stabilizer I Blueprint	资本磁性力场稳定器蓝图 I
'Carpo' Mining Laser Upgrade	卡普采矿激光提升器
'Cartel' Power Diagnostic System I	卡特尔能源诊断系统 I
'Cartel' Power Diagnostic System I Blueprint	卡特尔能源诊断系统蓝图 I
'Catapult' Mega Beam Laser I	投石车超级集束激光器 I
'Catapult' Mega Beam Laser I Blueprint	投石车超级集束激光器蓝图 I
'Censer' Medium Cap Battery	焚炉中型电容器电池
'Censer' Medium Cap Battery Blueprint	焚炉中型电容器电池蓝图
'Chainmail' 200mm Steel Plates	锁甲200mm钢附甲板
'Chainmail' 200mm Steel Plates Blueprint	锁甲200mm钢附甲板蓝图
'Chivalry' Large Remote Capacitor Transmitter	骑士大型远程电容传输装置
'Chivalry' Large Remote Capacitor Transmitter Blueprint	骑士大型远程电容传输装置蓝图
'Citadella' 100mm Steel Plates	要塞100mm钢附甲板
'Citadella' 100mm Steel Plates Blueprint	要塞100mm钢附甲板蓝图
'Clarity'	'清晰感知力训练'
'Codex' Data Analyzer I	法典数据分析仪 I
'Codex' Data Analyzer I Blueprint	法典数据分析仪蓝图 I
'Collateral' Adaptive Nano Plating I	间接适应性纳米附甲 I
'Contour' EM Plating I	轮廓电磁附甲 I
'Copasetic' Particle Field Acceleration	优秀粒子力场加速器 I
'Corporate' Light Electron Blaster I	集团轻型电子疾速炮 I
'Corporate' Light Electron Blaster I Blueprint	集团轻型电子疾速炮蓝图 I
'Crop' Gas Cloud Harvester	丰收气云采集器
'Crop' Gas Cloud Harvester Blueprint	丰收气云采集器蓝图
'Crossbow' Focused Medium Beam Laser I	石弓聚焦集束激光器 I
'Crossbow' Focused Medium Beam Laser I Blueprint	石弓聚焦集束激光器蓝图 I
'Crucible' Small Cap Battery	熔炉小型电容器电池
'Crucible' Small Cap Battery Blueprint	熔炉小型电容器电池蓝图
'Dactyl' Type-E Asteroid Analyzer	手指小行星分析仪 E型
'Daemon' Data Analyzer I	守护者数据分析仪 I
'Daemon' Data Analyzer I Blueprint	守护者数据分析仪蓝图 I
'Dart' Servitor	标枪核心系统调节器
'Dealer' Light Ion Blaster I	商人轻型离子疾速炮 I
'Dealer' Light Ion Blaster I Blueprint	商人轻型离子疾速炮蓝图 I
'Delineative' Warp Scrambler	勾画跃迁扰频器
'Delineative' Warp Scrambler Blueprint	勾画跃迁扰频器蓝图
'Desert Heat' Thermal Dissipation Field	沙炎热能发散力场
'Desert Heat' Thermal Dissipation Field Blueprint	沙炎热能发散力场蓝图
'Deuce' Co-Processor I	平局协处理器 I
'Deuce' Co-Processor I Blueprint	平局协处理器蓝图 I
'Distributor' Guidance Disruptor	旋风制导干扰器
'Distributor' Guidance Disruptor Blueprint	旋风制导干扰器蓝图
'Dyad' Co-Processor I	二分体协处理器 I
'Dyad' Co-Processor I Blueprint	二分体协处理器蓝图 I
'Economist' Tracking Computer I	经济家索敌计算机 I
'Economist' Tracking Computer I Blueprint	经济家索敌计算机蓝图 I
'Eidetic Memory'	'高级记忆能力训练'
'Element' Kinetic Plating I	元素动能附甲 I
'Empathy'	'社交能力学'
'Enkidu' Sentinel G-I+	Defender Special Issue Mk II-G
'Enterprise' Remote Tracking Computer	企业远距索敌计算机
'Enterprise' Remote Tracking Computer Blueprint	企业远距索敌计算机蓝图
'Entrepreneur' Remote Sensor Booster	促进者远程感应增强器
'Entrepreneur' Remote Sensor Booster I Blueprint	促进者远程感应增强器蓝图 I
'Excavator' Ice Harvesting Drone	采掘者冰矿采集无人机
'Excavator' Ice Harvesting Drone Blueprint	采掘者冰矿采集无人机蓝图
'Excavator' Mining Drone	采掘者采矿无人机
'Excavator' Mining Drone Blueprint	采掘者采矿无人机蓝图
'Executive' Remote Sensor Dampener	执行远程感应抑阻器
'Executive' Remote Sensor Dampener Blueprint	执行远程感应抑阻器蓝图
'Felon' Ion Blaster Cannon I	残暴离子疾速加农炮 I
'Felon' Ion Blaster Cannon I Blueprint	残暴离子疾速加农炮蓝图 I
'Firewall' Signal Amplifier	防火墙信号放大器
'Firewall' Signal Amplifier Blueprint	防火墙信号放大器蓝图
'Focus'	'专毅能力训练'
'Forger' ECCM - Magnetometric I	造假磁力ECCM发生器 I
'Forger' ECCM - Magnetometric I Blueprint	造假磁力ECCM发生器蓝图 I
'Full Duplex' Ballistic Control System	全双工弹道控制系统
'Full Duplex' Ballistic Control System Blueprint	全双工弹道控制系统蓝图
'Gallows' Light Missile Launcher	绞架轻型导弹发射器
'Gallows' Light Missile Launcher Blueprint	绞架轻型导弹发射器蓝图
'Gambler' Ladar ECM	赌徒光雷达ECM
'Gambler' Ladar ECM Blueprint	赌徒光雷达ECM蓝图
'Gauntlet' Small Focused Beam Laser I	交叉火力小型聚焦集束激光器 I
'Gauntlet' Small Focused Beam Laser I Blueprint	交叉火力小型聚焦集束激光器蓝图 I
'Ghost' Burst Jammer	鬼怪脉冲干扰器
'Ghost' Burst Jammer Blueprint	鬼怪脉冲干扰器蓝图
'Gjallarhorn' Explosive Doomsday	'赫姆达洱之咆哮'爆炸末日武器
'Gjallarhorn' Explosive Doomsday Blueprint	'赫姆达洱之咆哮'爆炸末日武器蓝图
'Glycerine' Shield Boost Amplifier	甘油护盾回充增量增效器
'Glycerine' Shield Boost Amplifier Blueprint	"甘油"护盾回充增量增效器蓝图
'Gonzo' Damage Control I	贡佐损伤控制 I
'Gonzo' Damage Control I Blueprint	贡佐损伤控制装备蓝图 I
'Gorget' Small Armor Repairer I	甲胄小型装甲维修器 I
'Gorget' Small Armor Repairer I Blueprint	甲胄小型装甲维修器蓝图 I
'Grail' Layered Plating I	圣杯覆层附甲 I
'Greaves' Medium Armor Repairer I	油渣中型装甲维修器 I
'Greaves' Medium Armor Repairer I Blueprint	油渣中型装甲维修器蓝图 I
'Guristas' CA-M SKIN	'古斯塔斯'CA-M涂装
'Habitat' Miner I	栖息采矿器 I
'Habitat' Miner I Blueprint	栖息采矿器蓝图 I
'Halberd' Mega Pulse Laser I	战戟超级脉冲激光器 I
'Halberd' Mega Pulse Laser I Blueprint	战戟超级脉冲激光器蓝图 I
'Halcyon' Core Equalizer I	盛世核心平衡器 I
'Harmony' Small Armor Repairer I	协合小型装甲维修器 I
'Harmony' Small Armor Repairer I Blueprint	协合小型装甲维修器蓝图 I
'Harness' Medium Capacitor Booster I	马套中型电容注电器 I
'Harness' Medium Capacitor Booster I Blueprint	马套中型电容注电器蓝图 I
'Hauberk' Large Armor Repairer I	鲮铠大型装甲维修器 I
'Hauberk' Large Armor Repairer I Blueprint	鲮铠大型装甲维修器蓝图 I
'Heist' Radar ECM	拦截雷达ECM
'Heist' Radar ECM Blueprint	拦截雷达ECM蓝图
'High Noon' Thermal Dissipation Amplifier	正午热能发散增效器
'High Noon' Thermal Dissipation Amplifier Blueprint	正午热能发散增效器蓝图
'Hooligan' Heavy Ion Blaster I	无赖重型离子疾速炮 I
'Hooligan' Heavy Ion Blaster I Blueprint	无赖重型离子疾速炮蓝图 I
'Hustler' Heavy Neutron Blaster I	恶徒重型中子疾速炮 I
'Hustler' Heavy Neutron Blaster I Blueprint	恶徒重型中子疾速炮蓝图 I
'Hypnos' Multispectral ECM I	许普诺斯多谱式ECM发生器 I
'Hypnos' Signal Distortion Amplifier I	许普诺斯信号畸变放大器 I
'Inception' Target Painter	起源目标标记装置
